country_name,country_border_name
Malaysia,Indonesia
Malaysia,Thailand
Mozambique,Malawi
Mozambique,Eswatini
Mozambique,South Africa
Mozambique,Tanzania
Mozambique,Zambia
Mozambique,Zimbabwe
Namibia,Angola
Namibia,Botswana
Namibia,South Africa
Namibia,Zambia
Niger,Algeria
Niger,Benin
Niger,Burkina Faso
Niger,Chad
Niger,Libya
Niger,Mali
Niger,Nigeria
Nigeria,Benin
Nigeria,Cameroon
Nigeria,Chad
Nigeria,Niger
Nicaragua,Costa Rica
Nicaragua,Honduras
Netherlands,Belgium
Netherlands,Germany
Norway,Finland
Norway,Russia
Norway,Sweden
Nepal,China
Nepal,India
Oman,United Arab Emirates
Oman,Saudi Arabia
Oman,Yemen
Panama,Colombia
Panama,Costa Rica
Peru,Bolivia
Peru,Brazil
Peru,Chile
Peru,Colombia
Peru,Ecuador
Papua New Guinea,Indonesia
Pakistan,Afghanistan
Pakistan,China
Pakistan,India
Pakistan,Iran
Poland,Belarus
Poland,Czechia
Poland,Germany
Poland,Lithuania
Poland,Russia
Poland,Slovakia
Poland,Ukraine
Portugal,Spain
Paraguay,Argentina
Paraguay,Bolivia
Paraguay,Brazil
Qatar,Saudi Arabia
Romania,Bulgaria
Romania,Hungary
Romania,Moldova
Romania,Serbia
Romania,Ukraine
Serbia,Albania
Serbia,Bosnia and Herzegovina
Serbia,Bulgaria
Serbia,Croatia
Serbia,Hungary
Serbia,Montenegro
Serbia,North Macedonia
Serbia,Romania
Russia,Azerbaijan
Russia,Belarus
Russia,China
Russia,Estonia
Russia,Finland
Russia,Georgia
Russia,Kazakhstan
Russia,North Korea
Russia,Latvia
Russia,Lithuania
Russia,Mongolia
Russia,Norway
Russia,Poland
Russia,Ukraine
Rwanda,Burundi
Rwanda,DR Congo
Rwanda,Tanzania
Rwanda,Uganda
Saudi Arabia,Iraq
Saudi Arabia,Jordan
Saudi Arabia,Kuwait
Saudi Arabia,Oman
Saudi Arabia,Qatar
Saudi Arabia,United Arab Emirates
Saudi Arabia,Yemen
Sudan,Central African Republic
Sudan,Chad
Sudan,Egypt
Sudan,Ethiopia
Sudan,Eritrea
Sudan,Libya
Sudan,South Sudan
Sweden,Finland
Sweden,Norway
Slovenia,Austria
Slovenia,Croatia
Slovenia,Hungary
Slovenia,Italy
Slovakia,Austria
Slovakia,Czechia
Slovakia,Hungary
Slovakia,Poland
Slovakia,Ukraine
Sierra Leone,Guinea
Sierra Leone,Liberia
San Marino,Italy
Senegal,Gambia
Senegal,Guinea
Senegal,Guinea-Bissau
Senegal,Mali
Senegal,Mauritania
Somalia,Djibouti
Somalia,Ethiopia
Somalia,Kenya
Suriname,Brazil
Suriname,Guyana
South Sudan,Central African Republic
South Sudan,DR Congo
South Sudan,Ethiopia
South Sudan,Kenya
South Sudan,Sudan
South Sudan,Uganda
El Salvador,Guatemala
El Salvador,Honduras
Syria,Iraq
Syria,Israel
Syria,Jordan
Syria,Lebanon
Syria,Türkiye
Eswatini,Mozambique
Eswatini,South Africa
Chad,Cameroon
Chad,Central African Republic
Chad,Libya
Chad,Niger
Chad,Nigeria
Chad,Sudan
Togo,Benin
Togo,Burkina Faso
Togo,Ghana
Thailand,Cambodia
Thailand,Laos
Thailand,Malaysia
Thailand,Myanmar
Tajikistan,Afghanistan
Tajikistan,China
Tajikistan,Kyrgyz Republic
Tajikistan,Uzbekistan
Timor-Leste,Indonesia
Turkmenistan,Afghanistan
Turkmenistan,Iran
Turkmenistan,Kazakhstan
Turkmenistan,Uzbekistan
Tunisia,Algeria
Tunisia,Libya
Türkiye,Armenia
Türkiye,Azerbaijan
Türkiye,Bulgaria
Türkiye,Georgia
Türkiye,Greece
Türkiye,Iran
Türkiye,Iraq
Türkiye,Syria
Tanzania,Burundi
Tanzania,DR Congo
Tanzania,Kenya
Tanzania,Malawi
Tanzania,Mozambique
Tanzania,Rwanda
Tanzania,Uganda
Tanzania,Zambia
Ukraine,Belarus
Ukraine,Hungary
Ukraine,Moldova
Ukraine,Poland
Ukraine,Romania
Ukraine,Russia
Ukraine,Slovakia
Uganda,DR Congo
Uganda,Kenya
Uganda,Rwanda
Uganda,South Sudan
Uganda,Tanzania
United States,Canada
United States,Mexico
Uruguay,Argentina
Uruguay,Brazil
Uzbekistan,Afghanistan
Uzbekistan,Kazakhstan
Uzbekistan,Kyrgyz Republic
Uzbekistan,Tajikistan
Uzbekistan,Turkmenistan
Venezuela,Brazil
Venezuela,Colombia
Venezuela,Guyana
Vietnam,Cambodia
Vietnam,China
Vietnam,Laos
Yemen,Oman
Yemen,Saudi Arabia
South Africa,Botswana
South Africa,Lesotho
South Africa,Mozambique
South Africa,Namibia
South Africa,Eswatini
South Africa,Zimbabwe
Zambia,Angola
Zambia,Botswana
Zambia,DR Congo
Zambia,Malawi
Zambia,Mozambique
Zambia,Namibia
Zambia,Tanzania
Zambia,Zimbabwe
Zimbabwe,Botswana
Zimbabwe,Mozambique
Zimbabwe,South Africa
Zimbabwe,Zambia
